"609",1.00,3.00,3.00,3.00,83.65,56.48,64.36,91.10,35.09,46.15,69.52,53.73
"557",2.00,3.00,0.00,0.00,96.70,56.63,66.31,90.74,36.66,51.40,81.20,57.28
"M6",3.00,3.00,3.00,3.00,103.82,57.57,68.78,96.32,46.78,57.34,84.38,56.03
"8T",3.00,3.00,3.00,3.00,,55.41,70.61,94.10,39.59,52.47,86.55,61.47
"493",3.00,3.00,0.00,0.00,91.14,53.25,66.69,86.64,37.32,45.97,80.88,60.32
"653",1.00,3.00,3.00,3.00,82.44,52.93,64.11,85.81,38.85,57.21,70.35,51.72
"A52",1.00,1.00,0.00,0.00,61.06,49.88,60.86,76.59,23.35,32.19,45.33,29.84
"749",1.00,3.00,3.00,1.00,80.70,53.93,64.20,87.46,37.15,52.22,69.02,49.17
"B4",3.00,3.00,3.00,3.00,99.93,55.66,68.53,90.39,36.73,45.55,84.06,64.45
"622",1.00,3.00,0.00,0.00,,56.14,67.23,89.49,37.62,46.91,75.12,56.07
"A05",1.00,1.00,0.00,0.00,59.67,49.20,58.16,75.09,21.89,33.85,42.68,31.51
"867",2.00,3.00,3.00,2.00,70.01,54.41,60.36,82.43,36.50,44.14,60.73,40.03
"902",1.00,1.00,1.00,1.00,64.97,49.78,60.30,75.15,28.82,36.26,52.00,36.17
"B94",1.00,1.00,0.00,0.00,60.88,53.47,61.60,78.38,23.11,35.41,43.28,31.08
"8J",3.00,3.00,3.00,3.00,89.65,55.00,63.20,92.81,40.88,52.43,74.94,59.98
"492",3.00,3.00,0.00,0.00,94.53,55.27,63.82,89.33,38.07,59.66,79.36,59.10
"805",,,,,,,,,,,,
"310",3.00,3.00,3.00,3.00,87.30,53.21,66.44,91.92,40.85,47.24,74.25,56.98
"WF INF 1980",1.00,1.00,0.00,0.00,,,,,,,,
"698",1.00,3.00,3.00,3.00,75.52,54.02,65.28,83.04,37.87,44.26,60.72,43.54
"9H",2.00,3.00,0.00,0.00,,,,,,,,
"762",1.00,2.00,0.00,0.00,77.14,51.56,60.47,83.17,34.69,44.21,62.47,45.03
"977",1.00,1.00,1.00,1.00,63.21,50.33,61.60,74.95,27.78,32.97,46.98,37.67
"926",1.00,2.00,0.00,0.00,,,,,,,,
"949",1.00,2.00,2.00,1.00,70.09,54.17,62.02,81.42,32.98,42.65,58.32,38.86
"844",3.00,3.00,3.00,3.00,84.09,,61.73,86.43,41.35,53.17,72.80,49.58
"DX",3.00,3.00,3.00,3.00,94.40,55.62,65.91,91.16,45.50,49.52,86.92,66.98
"715",1.00,3.00,3.00,3.00,75.56,52.82,61.44,82.06,37.06,46.10,64.81,45.80
"409",,3.00,0.00,0.00,99.32,57.13,67.41,92.52,41.63,50.62,83.67,55.72
"XN",3.00,3.00,3.00,3.00,90.95,,64.05,92.76,43.55,55.88,77.93,59.56
"657",1.00,3.00,3.00,3.00,91.20,,66.93,,,41.32,78.32,
"629",2.00,3.00,3.00,3.00,82.72,,,,39.10,48.67,73.55,49.89
"638",1.00,3.00,3.00,3.00,90.86,59.11,69.35,91.17,38.83,54.18,80.43,55.99
"543",3.00,3.00,3.00,3.00,79.91,48.86,60.65,81.99,34.67,45.74,68.86,53.25
"828",1.00,3.00,3.00,1.00,70.89,52.54,60.93,81.14,32.09,44.55,58.63,41.25
"497",3.00,3.00,3.00,3.00,83.67,55.97,64.38,90.97,45.01,50.69,72.05,52.11
"471",3.00,3.00,3.00,3.00,85.19,55.47,64.60,83.83,40.31,43.38,72.10,49.42
"645",1.00,3.00,3.00,3.00,86.20,56.81,64.74,89.85,35.89,48.11,77.57,57.20
"495",3.00,3.00,3.00,3.00,94.82,57.10,66.60,89.88,40.61,51.99,80.20,61.57
"786",1.00,3.00,0.00,0.00,93.90,54.45,70.63,95.26,39.66,48.87,81.88,64.72
"B89",1.00,1.00,0.00,0.00,58.54,50.37,59.44,77.09,21.96,34.20,44.55,30.17
"851",1.00,3.00,3.00,3.00,79.93,53.31,63.44,86.37,40.65,50.63,66.12,46.08
"781",1.00,3.00,0.00,0.00,97.96,54.25,62.55,89.75,37.76,56.47,76.84,54.38
"957",1.00,3.00,3.00,2.00,68.13,51.51,62.34,82.12,33.83,41.03,57.93,44.44
"280",3.00,3.00,3.00,3.00,85.61,54.17,64.19,86.77,42.68,52.10,72.70,55.89
"00I",1.00,2.00,2.00,1.00,72.25,54.10,61.14,83.44,39.87,47.96,59.15,38.29
"482",3.00,3.00,3.00,3.00,84.19,59.00,63.09,88.40,41.21,43.54,74.87,50.95
"661",2.00,3.00,3.00,3.00,95.80,57.64,69.25,91.38,43.16,51.54,84.25,58.40
"B27",1.00,1.00,0.00,0.00,65.10,51.40,60.73,81.40,30.95,35.13,49.77,39.50
"B15",1.00,1.00,1.00,1.00,64.22,55.69,61.33,81.54,30.16,37.17,49.44,33.80
"1J",3.00,3.00,3.00,3.00,95.19,57.29,72.16,88.05,43.08,51.90,88.14,72.05
"934",1.00,3.00,3.00,1.00,76.26,55.97,64.74,87.05,34.58,41.58,62.99,45.47
"283",3.00,3.00,3.00,3.00,87.97,55.10,63.58,90.64,42.96,53.81,74.75,57.40
"306",3.00,3.00,3.00,3.00,87.45,59.80,65.07,94.02,44.35,48.48,76.27,56.07
"294",3.00,3.00,3.00,3.00,85.31,58.02,63.77,90.68,45.49,48.15,75.04,57.47
"639",2.00,3.00,0.00,0.00,94.26,58.84,66.93,93.24,35.43,45.65,81.62,65.35
"915",1.00,3.00,2.00,1.00,74.41,57.74,65.75,86.32,34.09,44.55,61.01,43.97
"738",1.00,3.00,3.00,3.00,81.53,55.18,64.49,88.33,41.92,48.14,67.41,49.16
"289",3.00,3.00,3.00,3.00,99.09,60.11,67.60,91.96,44.85,57.93,80.67,59.91
"B28",1.00,2.00,0.00,0.00,63.21,54.40,61.78,78.47,25.93,33.84,48.65,34.65
"712",1.00,3.00,3.00,3.00,85.15,55.18,63.40,84.72,42.08,46.28,73.58,56.76
"718",2.00,3.00,3.00,3.00,93.57,57.34,66.47,87.68,42.33,53.77,79.80,58.37
"865",1.00,3.00,3.00,3.00,85.88,54.00,64.12,84.25,43.08,48.75,75.06,56.53
"C36",1.00,1.00,1.00,1.00,57.66,51.55,59.16,74.26,22.77,30.54,41.45,29.66
"A6",3.00,3.00,0.00,0.00,84.95,53.02,62.63,87.49,36.00,54.64,69.18,53.42
"9I",3.00,3.00,0.00,0.00,93.86,57.00,66.42,92.52,38.63,47.66,77.12,62.14
"720",1.00,3.00,3.00,2.00,88.02,55.42,66.81,92.24,42.70,56.99,74.64,56.53
"G8",3.00,3.00,3.00,3.00,88.91,56.54,68.16,92.30,48.11,52.67,79.43,60.58
"A33",1.00,3.00,3.00,2.00,70.86,50.87,61.30,77.96,33.95,42.84,55.72,38.88
"961",1.00,3.00,3.00,1.00,74.62,55.63,66.25,86.71,31.63,47.83,61.34,41.13
"919",1.00,2.00,0.00,0.00,75.91,54.39,65.49,84.64,32.51,45.50,63.13,45.17
