AnimalID, Sex, Matril, BGroup, DateOfB, Pedigree
"I95","f","Q1083","I",5/8/1985 0:00:00,5
"J66","f","Q1083","R",1/12/1986 0:00:00,6
"K57","m","Q1083","Q",1/18/1986 0:00:00,5
"K12","m","Q1083","S",1/23/1986 0:00:00,4
"J48","f","Q1083","R",1/30/1986 0:00:00,4
"K46","f","Q1083","Q",1/30/1986 0:00:00,5
"K52","m","Q1083","Q",2/2/1986 0:00:00,5
"K55","m","Q1083","Q",2/4/1986 0:00:00,5
"K29","m","Q1083","Q",2/6/1986 0:00:00,5
"J73","m","Q1083","R",2/6/1986 0:00:00,5
"J71","f","Q1083","S",2/19/1986 0:00:00,6
"K49","m","Q1083","Q",2/21/1986 0:00:00,5
"K50","f","Q1083","Q",2/25/1986 0:00:00,4
"K03","m","Q1083","S",3/1/1986 0:00:00,5
"K48","f","Q1083","Q",3/7/1986 0:00:00,5
"J74","f","Q1083","S",3/24/1986 0:00:00,5
"K62","f","Q1083","Q",4/3/1986 0:00:00,4
"K42","m","Q1083","R",4/11/1986 0:00:00,5
"J75","f","Q1083","I",4/25/1986 0:00:00,5
"L97","f","Q1083","S",12/17/1986 0:00:00,5
"i87D81","f","Q1083","Q",12/24/1986 0:00:00,6
"L85","f","Q1083","Q",12/24/1986 0:00:00,5
"K79","f","Q1083","R",12/26/1986 0:00:00,5
"L15","f","Q1083","Q",12/28/1986 0:00:00,4
"K85","m","Q1083","S",1/1/1987 0:00:00,5
"L36","m","Q1083","S",1/3/1987 0:00:00,6
"L43","m","Q1083","S",1/4/1987 0:00:00,5
"i87893","f","Q1083","Q",1/12/1987 0:00:00,5
"L21","f","Q1083","Q",1/13/1987 0:00:00,5
"K89","f","Q1083","R",1/20/1987 0:00:00,4
"L18","m","Q1083","Q",1/23/1987 0:00:00,4
"L01","m","Q1083","Q",1/27/1987 0:00:00,6
"L28","m","Q1083","Q",1/27/1987 0:00:00,5
"L37","f","Q1083","S",1/28/1987 0:00:00,6
"L07","m","Q1083","R",2/6/1987 0:00:00,5
"K80","f","Q1083","S",2/14/1987 0:00:00,4
"K81","f","Q1083","R",2/19/1987 0:00:00,5
"L02","m","Q1083","Q",2/24/1987 0:00:00,5
"L86","f","Q1083","Q",3/3/1987 0:00:00,5
"L16","m","Q1083","Q",3/10/1987 0:00:00,5
"L22","m","Q1083","R",3/13/1987 0:00:00,5
