AnimalID,F1,F2,F3,F4,F5,F6,F7,F8,C1,C2,C3,C4,Sex,Matril,EAAD
"93A",86.56,54.73,64.17,87.02,46.05,51.20,72.72,52.23,3.00,3.00,3.00,3.00,"F","116","12.68"
"AJ18",66.87,53.73,57.97,76.48,35.44,43.34,52.88,35.76,1.00,3.00,3.00,1.00,"F","116","02.04"
"46B",80.28,53.46,62.36,80.68,41.00,48.00,66.51,48.00,3.00,3.00,3.00,3.00,"F","116","10.65"
"72F",87.15,58.88,64.74,90.29,44.46,52.07,69.98,52.00,3.00,3.00,3.00,3.00,"F","116","10.41"
"AC28",80.78,54.36,59.28,87.53,43.53,51.65,68.82,49.55,3.00,3.00,3.00,3.00,"F","116","04.12"
"51B",83.45,58.26,65.01,91.07,45.38,46.99,71.25,51.33,3.00,3.00,3.00,3.00,"F","116","13.06"
"87N",72.80,51.84,60.16,82.12,39.32,43.25,58.31,38.49,1.00,3.00,3.00,3.00,"F","116","03.28"
"AD66",79.40,55.67,58.49,84.52,41.39,52.96,67.40,44.96,1.00,3.00,3.00,3.00,"F","116","05.38"
"X55",79.47,53.09,60.18,82.48,44.62,47.80,68.72,50.29,3.00,3.00,3.00,3.00,"F","116","12.53"
"AH24",70.36,50.34,59.09,76.30,31.89,41.83,53.90,42.02,1.00,3.00,3.00,1.00,"F","116","03.67"
"19I",,,,,,,,,,,,,"F","116","08.26"
